timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698751158272,1574,https://www.isa.org/about-isa,200,OK,Thread Group 1-1,text,true,,35705,501,2,2,https://www.isa.org/about-isa,1358,0,1108
1698751159281,1257,https://www.isa.org/about-isa,200,OK,Thread Group 1-2,text,true,,35705,501,3,3,https://www.isa.org/about-isa,1023,0,769
1698751160279,1247,https://www.isa.org/about-isa,200,OK,Thread Group 1-3,text,true,,35705,501,4,4,https://www.isa.org/about-isa,1008,0,741
1698751161279,1244,https://www.isa.org/about-isa,200,OK,Thread Group 1-4,text,true,,35705,501,5,5,https://www.isa.org/about-isa,1007,0,759
1698751162275,1334,https://www.isa.org/about-isa,200,OK,Thread Group 1-5,text,true,,35705,501,6,6,https://www.isa.org/about-isa,998,0,743
1698751163278,1331,https://www.isa.org/about-isa,200,OK,Thread Group 1-6,text,true,,35705,501,7,7,https://www.isa.org/about-isa,1100,0,848
1698751164656,277,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-2,text,true,,35562,692,7,7,https://www.isa.org/about-isa/what-is-automation,252,0,0
1698751159279,1534,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,71267,1193,7,7,null,1275,4122,769
1698751164938,277,https://www.isa.org/about-isa,200,OK,Thread Group 1-2,text,true,,35705,501,7,7,https://www.isa.org/about-isa,251,0,0
1698751164279,1252,https://www.isa.org/about-isa,200,OK,Thread Group 1-7,text,true,,35705,501,8,8,https://www.isa.org/about-isa,1004,0,754
1698751166025,251,https://www.isa.org/about-isa/what-is-automation,200,OK,Thread Group 1-1,text,true,,35562,692,9,9,https://www.isa.org/about-isa/what-is-automation,243,0,0
1698751158258,1825,Test,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,71267,1193,9,9,null,1601,6196,1108
